Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.490000,9.000000,19.000000,24.404196,10.487903,5.950000,5.000000,7.000000,172.100845,5.948811,1.010000,0.000000,2.000000,1013.861389,1.009798,72.739998,9.000000,19.000000,14.077537,72.725456,0.950000,0.000000,19.000000,1077.894775,0.949810,6.550000,6.000000,19.000000,39.083969,6.548690,2.330000,2.000000,3.000000,109.871246,2.329534
1.000000,9.220000,9.000000,12.000000,27.765726,10.472512,5.280000,5.000000,6.000000,193.939392,5.997274,0.920000,0.000000,1.000000,1113.043457,1.044980,64.349998,9.000000,12.000000,15.912976,73.091774,0.800000,9.000000,12.000000,1280.000000,0.908678,5.670000,5.000000,12.000000,45.149910,6.440254,1.800000,1.000000,3.000000,142.222229,2.044525
2.000000,9.160000,9.000000,10.000000,27.947599,10.526317,5.230000,5.000000,6.000000,195.793503,6.010113,0.960000,0.000000,1.000000,1066.666748,1.103195,63.880001,9.000000,66.000000,16.030056,73.408417,0.820000,9.000000,10.000000,1248.780518,0.942312,5.410000,9.000000,10.000000,47.319778,6.216962,1.560000,1.000000,2.000000,164.102570,1.792691
3.000000,9.120000,9.000000,10.000000,28.070175,10.502073,5.200000,5.000000,6.000000,196.923080,5.988024,0.920000,0.000000,1.000000,1113.043457,1.059420,64.040001,9.000000,64.000000,15.990006,73.744820,0.820000,9.000000,10.000000,1248.780518,0.944265,5.300000,5.000000,10.000000,48.301884,6.103179,1.440000,1.000000,2.000000,177.777771,1.658222
4.000000,9.130000,9.000000,10.000000,28.039431,10.558575,5.210000,5.000000,8.000000,196.545105,6.025211,0.930000,0.000000,1.000000,1101.075317,1.075518,63.869999,9.000000,10.000000,16.032566,73.863770,0.880000,0.000000,10.000000,1163.636353,1.017694,5.190000,5.000000,10.000000,49.325626,6.002081,1.260000,1.000000,2.000000,203.174606,1.457153
5.000000,9.120000,9.000000,10.000000,28.070175,10.583730,5.240000,5.000000,6.000000,195.419861,6.081003,0.880000,0.000000,1.000000,1163.636353,1.021237,63.919998,9.000000,10.000000,16.020025,74.178947,0.820000,1.000000,10.000000,1248.780518,0.951607,5.030000,9.000000,10.000000,50.894630,5.837299,1.160000,1.000000,2.000000,220.689667,1.346176
6.000000,9.176471,9.000000,11.000000,27.897436,10.644832,5.215686,5.000000,6.000000,196.330826,6.050267,0.950980,0.000000,1.000000,1076.783569,1.103150,63.931374,9.000000,11.000000,16.017176,74.161270,0.803922,1.000000,11.000000,1273.756104,0.932560,4.980392,9.000000,11.000000,51.401577,5.777323,1.147059,1.000000,2.000000,223.179489,1.330604
7.000000,9.150944,9.000000,10.000000,27.975256,10.633634,5.207547,5.000000,6.000000,196.637680,6.051304,0.915094,0.000000,1.000000,1119.010376,1.063363,63.933964,9.000000,65.000000,16.016525,74.292923,0.858491,1.000000,10.000000,1192.791138,0.997588,4.962264,9.000000,10.000000,51.589355,5.766279,1.028302,0.000000,2.000000,248.954147,1.194913
8.000000,9.111842,9.000000,10.000000,28.095306,10.612214,5.210526,5.000000,6.000000,196.525253,6.068501,0.914474,0.000000,1.000000,1119.769775,1.065053,63.914474,9.000000,66.000000,16.021410,74.438744,0.842105,1.000000,10.000000,1216.000000,0.980768,4.881579,5.000000,10.000000,52.442047,5.685388,0.986842,0.000000,2.000000,259.413330,1.149337
9.000000,9.137931,9.000000,10.000000,28.015095,10.643425,5.237931,5.000000,6.000000,195.497025,6.100892,0.879310,0.000000,1.000000,1164.548950,1.024179,63.944828,9.000000,10.000000,16.013805,74.479881,0.831034,9.000000,10.000000,1232.199219,0.967949,4.889655,9.000000,10.000000,52.355431,5.695237,0.934483,0.000000,2.000000,273.948334,1.088441
10.000000,9.134490,9.000000,11.000000,28.025648,10.635449,5.242950,5.000000,6.000000,195.309891,6.104460,0.919740,0.000000,1.000000,1113.358398,1.070869,63.971802,9.000000,64.000000,16.007053,74.483513,0.838395,9.000000,11.000000,1221.381592,0.976158,4.841649,9.000000,11.000000,52.874554,5.637218,0.938178,0.000000,2.000000,272.869354,1.092337
11.000000,9.131500,9.000000,29.000000,28.034824,10.629836,5.239042,5.000000,6.000000,195.455582,6.098686,0.918595,0.000000,2.000000,1114.745728,1.069322,63.994282,9.000000,64.000000,16.001431,74.494736,0.832834,9.000000,29.000000,1229.536499,0.969489,4.867411,9.000000,29.000000,52.594700,5.666076,0.920773,0.000000,2.000000,278.027191,1.071858
12.000000,9.120693,8.000000,17.000000,28.068043,10.616215,5.228405,5.000000,10.000000,195.853226,6.085708,0.914766,0.000000,2.000000,1119.412354,1.064760,64.029305,8.000000,67.000000,15.992678,74.528198,0.829054,1.000000,17.000000,1235.142578,0.964994,4.867233,4.000000,17.000000,52.596622,5.665313,0.923404,0.000000,3.000000,277.235199,1.074814
13.000000,9.125009,6.000000,26.000000,28.054768,10.695277,5.226541,4.000000,20.000000,195.923096,6.125945,0.911002,0.000000,3.000000,1124.037109,1.067771,63.972157,6.000000,63.000000,16.006964,74.980743,0.829432,6.000000,26.000000,1234.580322,0.972164,4.865536,5.000000,26.000000,52.614960,5.702817,0.922088,0.000000,3.000000,277.630829,1.080764
14.000000,8.587093,5.000000,31.000000,29.812183,10.978917,5.090476,1.000000,19.000000,201.159973,6.508362,0.905040,0.000000,7.000000,1131.441284,1.157128,64.006630,5.000000,62.000000,15.998343,81.834846,0.823414,0.000000,31.000000,1243.603394,1.052765,4.703025,5.000000,31.000000,54.433048,6.012992,0.917356,0.000000,9.000000,279.062988,1.172873
