Eb/No,Es/No, Sigma, # Bit Errors, # Frame Errors, # Simulated frames,BER,FER, Time for this SNR, Average time for one frame
0.000000, -4.771213, 1.224745, 287, 100, 105, 0.085417, 0.952381, 0.000932, 0.000009
1.000000, -3.771213, 1.091555, 208, 100, 112, 0.058036, 0.892857, 0.000944, 0.000008
2.000000, -2.771213, 0.972849, 167, 100, 137, 0.038093, 0.729927, 0.001139, 0.000008
3.000000, -1.771213, 0.867053, 140, 100, 191, 0.022906, 0.523560, 0.001579, 0.000008
4.000000, -0.771213, 0.772762, 121, 100, 303, 0.012479, 0.330033, 0.002506, 0.000008
5.000000, 0.228787, 0.688725, 111, 100, 639, 0.005428, 0.156495, 0.005269, 0.000008
6.000000, 1.228787, 0.613826, 103, 100, 1621, 0.001986, 0.061690, 0.013371, 0.000008
7.000000, 2.228787, 0.547073, 101, 100, 4352, 0.000725, 0.022978, 0.035860, 0.000008
8.000000, 3.228787, 0.487580, 100, 100, 17062, 0.000183, 0.005861, 0.140551, 0.000008
9.000000, 4.228787, 0.434556, 100, 100, 112358, 0.000028, 0.000890, 0.925322, 0.000008
10.000000, 5.228787, 0.387298, 100, 100, 746376, 0.000004, 0.000134, 6.150101, 0.000008
11.000000, 6.228787, 0.345180, 100, 100, 11821908, 0.000000, 0.000008, 97.394653, 0.000008
12.000000, 7.228787, 0.307642, 100, 100, 342750030, 0.000000, 0.000000, 2823.432617, 0.000008
