gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.936364,0.000000,3.000000,34.174759,4.942419,1.463636,1.000000,2.000000,87.453415,7.725529,1.554545,0.000000,3.000000,82.339188,8.205375,11.454545,0.000000,12.000000,11.174603,60.460651,0.800000,0.000000,3.000000,160.000000,4.222649,1.645455,0.000000,3.000000,19.447514,8.685222,1.090909,0.000000,3.000000,29.333332,5.758158
0.864407,0.000000,1.000000,37.019608,4.748603,1.508475,1.000000,2.000000,84.853935,8.286778,1.593220,0.000000,2.000000,80.340424,8.752328,10.830508,0.000000,9.000000,11.818466,59.497204,0.805085,0.000000,1.000000,158.989471,4.422719,1.584746,0.000000,2.000000,20.192513,8.705772,1.016949,0.000000,1.000000,31.466665,5.586592
0.907895,0.000000,1.000000,35.246376,5.279265,1.381579,1.000000,3.000000,92.647621,8.033665,1.421053,0.000000,1.000000,90.074081,8.263198,10.296053,0.000000,12.000000,12.431949,59.869934,0.690789,0.000000,1.000000,185.295242,4.016832,1.532895,0.000000,1.000000,20.875536,8.913543,0.967105,0.000000,1.000000,33.088436,5.623565
0.858586,0.000000,1.000000,37.270588,5.277864,1.272727,1.000000,2.000000,100.571434,7.823657,1.338384,0.000000,1.000000,95.637741,8.227258,9.883839,0.000000,9.000000,12.950434,60.757526,0.717172,0.000000,1.000000,178.478867,4.408568,1.323232,0.000000,1.000000,24.183207,8.134119,0.873737,0.000000,1.000000,36.624275,5.371003
0.795455,0.000000,1.000000,40.228569,5.189029,1.295455,1.000000,2.000000,98.807022,8.450705,1.310606,0.000000,1.000000,97.664742,8.549543,9.276515,0.000000,10.000000,13.798285,60.513962,0.681818,0.000000,1.000000,187.733337,4.447739,1.238636,0.000000,1.000000,25.834862,8.080060,0.731061,0.000000,1.000000,43.772018,4.768965
0.823853,0.000000,1.000000,38.841873,5.376602,1.244037,1.000000,2.000000,102.890854,8.118788,1.304587,0.000000,2.000000,98.115334,8.513950,9.218349,0.000000,10.000000,13.885350,60.160458,0.677064,0.000000,1.000000,189.051483,4.418633,1.282569,0.000000,2.000000,24.949928,8.370255,0.772477,0.000000,1.000000,41.425179,5.041313
0.788225,0.000000,1.000000,40.597549,5.211480,1.204745,1.000000,2.000000,106.246536,7.965373,1.260984,0.000000,1.000000,101.508011,8.337207,9.181898,0.000000,9.000000,13.940473,60.707645,0.645870,0.000000,1.000000,198.182312,4.270277,1.265378,0.000000,2.000000,25.288889,8.366256,0.777680,0.000000,1.000000,41.148022,5.141761
0.772824,0.000000,2.000000,41.406563,5.095754,1.228243,1.000000,4.000000,104.213867,8.098641,1.282969,0.000000,2.000000,99.768623,8.459479,9.193273,0.000000,9.000000,13.923224,60.617474,0.664442,0.000000,2.000000,192.642838,4.381116,1.264015,0.000000,2.000000,25.316156,8.334507,0.760278,0.000000,2.000000,42.089890,5.013025
0.790368,0.000000,2.000000,40.487488,5.181705,1.236614,1.000000,4.000000,103.508453,8.107327,1.289669,0.000000,2.000000,99.250298,8.455158,9.201454,0.000000,10.000000,13.910845,60.325375,0.673074,0.000000,2.000000,190.172180,4.412722,1.277716,0.000000,2.000000,25.044695,8.376794,0.784146,0.000000,2.000000,40.808701,5.140919
0.776939,0.000000,17.000000,41.187290,5.108790,1.225393,0.000000,4.000000,104.456314,8.057617,1.288239,0.000000,17.000000,99.360405,8.470868,9.187216,0.000000,17.000000,13.932404,60.410889,0.667028,0.000000,17.000000,191.896042,4.386067,1.280031,0.000000,17.000000,24.999403,8.416891,0.783035,0.000000,17.000000,40.866623,5.148878
